#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,117,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,190,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.043374000,0.026133000, 5.787247
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
52,-39.427000000,7.754809459,12722,7.754832268,12722,0.000291752,7.754841922,12722,0.000418619
53,-38.273000000,7.476241614,12724,7.476192951,12724,0.000649023,7.476162476,12724,0.001058518
54,-37.898000000,7.214316493,12725,7.214265347,12725,0.000709646,7.214233571,12725,0.001149415
55,-27.499000000,6.892044947,12726,6.891988754,12726,0.000812459,6.891962384,12726,0.001197946
56,-25.643000000,6.807692701,12727,6.807637691,12727,0.000805718,6.807608712,12727,0.001233742
57,-27.585000000,6.692087097,12728,6.692032337,12728,0.000820655,6.692004817,12728,0.001229523
58,-14.386000000,6.623427012,12729,6.623369217,12729,0.000873988,6.623339175,12729,0.001326159
59,-9.686100000,6.614682516,12730,6.614622593,12730,0.000902696,6.614592817,12730,0.001356063
60,-8.729100000,6.637051433,12731,6.636993408,12731,0.000872987,6.636970502,12731,0.001219384
61,-6.007200000,6.677381693,12732,6.677320480,12732,0.000916622,6.677297635,12732,0.001258847
62,-2.748500000,6.660978935,12733,6.660922527,12733,0.000846288,6.660899656,12733,0.001190201
63,-2.499100000,6.666701736,12733,6.666727066,12733,0.000381853,6.666738637,12733,0.000553511
64,-0.158240000,6.616790159,12734,6.616816044,12734,0.000394077,6.616823153,12734,0.000498632
65,0.598970000,6.554231940,12735,6.554261684,12735,0.000450646,6.554268461,12735,0.000557206
66,2.407200000,6.506336492,12736,6.506365776,12736,0.000448403,6.506370357,12736,0.000520493
67,2.618200000,6.509391814,12737,6.509420872,12737,0.000444640,6.509432478,12737,0.000624696
68,4.428800000,6.452660607,12738,6.452690125,12738,0.000454078,6.452701730,12738,0.000637313
69,4.624600000,6.402081740,12739,6.402113914,12739,0.000500087,6.402125673,12739,0.000686229
70,5.908400000,6.373537074,12740,6.373563766,12740,0.000418023,6.373575687,12740,0.000605837
71,6.692600000,6.337830432,12741,6.337856770,12741,0.000413172,6.337868656,12741,0.000603108
72,5.646300000,6.311255669,12742,6.311291218,12742,0.000564040,6.311303356,12742,0.000755579
73,0.788610000,6.301705566,12743,6.301743984,12743,0.000606946,6.301751078,12743,0.000722218
74,-5.768900000,6.307378413,12744,6.307414532,12744,0.000572272,6.307421766,12744,0.000687337
75,-7.827700000,6.303208892,12745,6.303247452,12745,0.000609320,6.303254561,12745,0.000724536
76,-8.300200000,6.326309698,12746,6.326345444,12746,0.000561746,6.326352472,12746,0.000676123
77,-7.421900000,6.322110783,12747,6.322154522,12747,0.000688350,6.322159128,12747,0.000764702
78,-7.898600000,6.317414409,12748,6.317446232,12748,0.000502287,6.317458217,12748,0.000693452
79,-8.666500000,6.326688255,12749,6.326728821,12749,0.000639647,6.326735959,12749,0.000754010
80,-8.045700000,6.344759626,12750,6.344798565,12750,0.000614829,6.344798636,12750,0.000614829
81,-8.035600000,6.452234416,12751,6.452278614,12751,0.000682188,6.452278433,12751,0.000682188
82,-6.077000000,6.507829056,12753,6.507772446,12753,0.000866894,6.507753883,12753,0.001155126
83,-4.794000000,6.621022556,12753,6.621069431,12753,0.000709792,6.621062638,12753,0.000605371
84,-1.651700000,6.799476736,12754,6.799516678,12754,0.000589482,6.799510085,12754,0.000490470
85,-1.409600000,7.172427605,12755,7.172460079,12755,0.000452539,7.172460063,12755,0.000452539
86,-1.476600000,7.609371397,12756,7.609406948,12756,0.000468989,7.609403074,12756,0.000416284
87,0.006602300,7.965925962,12757,7.965957642,12757,0.000398302,7.965957691,12757,0.000398302
88,-1.809000000,8.323931243,12758,8.323961258,12758,0.000359908,8.323961201,12758,0.000359908
89,-5.532100000,8.654458791,12759,8.654485703,12759,0.000306411,8.654485309,12759,0.000306411
90,-7.205100000,8.943905868,12760,8.943925858,12760,0.000220487,8.943930707,12760,0.000277712
91,-11.899000000,9.229929179,12761,9.229953766,12761,0.000266736,9.229957105,12761,0.000302558
92,-13.924000000,9.527721242,12762,9.527743340,12762,0.000231889,9.527743335,12762,0.000231889
93,-12.621000000,9.786184667,12763,9.786208153,12763,0.000238386,9.786207996,12763,0.000238386
94,-11.615000000,10.005811411,12764,10.005836487,12764,0.000248837,10.005836310,12764,0.000248837
95,-12.657000000,10.181597208,12765,10.181616783,12765,0.000189074,10.181616459,12765,0.000189074
96,-13.731000000,10.379951657,12766,10.379968643,12766,0.000161263,10.379968396,12766,0.000161263
97,-13.380000000,10.523953263,34,10.523962021,34,0.000086637,10.523959480,34,0.000059082
98,-14.199000000,10.582384970,35,10.582393646,35,0.000084341,10.582391011,35,0.000057090
99,-14.024000000,10.652492408,36,10.652497292,36,0.000050017,10.652497736,36,0.000050017
100,-15.197000000,10.721305591,37,10.721310616,37,0.000047461,10.721310679,37,0.000047461
101,-15.081000000,10.795191321,38,10.795197487,38,0.000055670,10.795197330,38,0.000055670
102,-13.851000000,10.911053446,38,10.911064148,38,0.000102169,10.911054804,38,0.000012450
103,-15.044000000,11.045064630,39,11.045075417,39,0.000094342,11.045066761,39,0.000019295
104,-16.669000000,11.164365525,12774,11.164377213,12774,0.000101474,11.164382321,12774,0.000150442
105,-18.529000000,11.177734856,12775,11.177744865,12775,0.000091875,11.177754681,12775,0.000177364
106,-20.237000000,11.155381311,43,11.155386925,43,0.000050332,11.155386926,43,0.000050332
107,-20.573000000,11.184740294,43,11.184751511,43,0.000099074,11.184741826,43,0.000013692
108,-25.423000000,11.255162287,45,11.255167961,45,0.000049098,11.255170524,45,0.000073189
109,-24.651000000,11.456313052,45,11.456323624,45,0.000089995,11.456314038,45,0.000008613
110,-23.564000000,11.632526256,47,11.632530212,47,0.000036317,11.632533104,47,0.000058870
111,-26.764000000,11.725268887,8218,11.725223541,8218,0.000387322,11.725228678,8218,0.000342927
112,-24.432000000,11.755330807,8219,11.755284309,8219,0.000396501,11.755289389,8219,0.000352333
113,-25.690000000,11.746315798,8220,11.746271133,8220,0.000380790,11.746271069,8220,0.000380790
