#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,256,256,0
#Time (s): double,float,flexfloat
0.216328000,0.119512000,13.904083
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
0,-34.868000000,8.787507707,6400,8.787532806,6400,0.000286152,8.803408431,6400,0.180946907
1,-39.257000000,8.777905246,6401,8.777927399,6401,0.000247528,8.760707734,6401,0.195918175
2,-40.319000000,8.714909994,6402,8.714928627,6402,0.000214276,8.717797887,6402,0.033137382
3,-38.407000000,8.682000270,6403,8.682024956,6403,0.000288406,8.674675786,6403,0.084364012
4,-38.582000000,8.626489305,6404,8.626514435,6404,0.000289131,8.660254038,6404,0.391407581
5,-39.486000000,8.589897213,6405,8.589917183,6405,0.000235810,8.587782019,6405,0.024624216
6,-39.048000000,8.558315811,6406,8.558336258,6406,0.000237328,8.573214100,6406,0.174079675
7,-39.798000000,8.517857262,6407,8.517876625,6407,0.000232514,8.514693183,6407,0.037146423
8,-39.784000000,8.455829537,6408,8.455848694,6408,0.000223862,8.485281374,6408,0.348302160
9,-38.807000000,8.388939742,6409,8.388960838,6409,0.000251729,8.396427812,6409,0.089261215
10,-41.341000000,8.349149525,6410,8.349168777,6410,0.000229793,8.366600265,6410,0.209012188
11,-40.516000000,8.261596309,6411,8.261619568,6411,0.000286023,8.246211251,6411,0.186223787
12,-41.289000000,8.191922000,6412,8.191942215,6412,0.000241479,8.170067319,6412,0.266783312
13,-38.260000000,8.130901997,6413,8.130923271,6413,0.000257657,8.108637370,6413,0.273827263
14,-38.438000000,8.086301356,6414,8.086318970,6414,0.000214241,8.046738470,6414,0.489258129
