#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.207665000,0.116868000,14.937824
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
52,-39.427000000,7.754809459,12722,7.754832268,12722,0.000291752,7.745966692,12722,0.114029455
53,-38.273000000,7.476241614,12724,7.476192951,12724,0.000649023,7.348469228,12724,1.709045692
54,-37.898000000,7.214316493,12725,7.214265347,12725,0.000709646,6.928203230,12724,3.965909499
55,-27.499000000,6.892044947,12726,6.891988754,12726,0.000812459,6.633249581,12726,3.754986635
56,-25.643000000,6.807692701,12727,6.807637691,12727,0.000805718,6.633249581,12726,2.562441173
57,-27.585000000,6.692087097,12728,6.692032337,12728,0.000820655,6.633249581,12728,0.879210265
58,-14.386000000,6.623427012,12729,6.623369217,12729,0.000873988,6.633249581,12728,0.148300398
59,-9.686100000,6.614682516,12730,6.614622593,12730,0.000902696,6.633249581,12729,0.280694718
60,-8.729100000,6.637051433,12731,6.636993408,12731,0.000872987,6.633249581,12730,0.057282247
61,-6.007200000,6.677381693,12732,6.677320480,12732,0.000916622,6.782329983,12732,1.571698228
62,-2.748500000,6.660978935,12733,6.660922527,12733,0.000846288,6.782329983,12733,1.821820023
63,-2.499100000,6.666701736,12733,6.666727066,12733,0.000381853,6.324555320,12734,5.132169237
64,-0.158240000,6.616790159,12734,6.616816044,12734,0.000394077,6.324555320,12734,4.416565008
65,0.598970000,6.554231940,12735,6.554261684,12735,0.000450646,6.782329983,12735,3.480164339
66,2.407200000,6.506336492,12736,6.506365776,12736,0.000448403,6.782329983,12736,4.241918495
67,2.618200000,6.509391814,12737,6.509420872,12737,0.000444640,6.633249581,12737,1.902754827
68,4.428800000,6.452660607,12738,6.452690125,12738,0.000454078,6.782329983,12738,5.109045658
69,4.624600000,6.402081740,12739,6.402113914,12739,0.000500087,6.324555320,12739,1.210956420
70,5.908400000,6.373537074,12740,6.373563766,12740,0.000418023,6.164414003,12740,3.281114844
