#Time (s): double,float,flexfloat
0.62269413, 0.594945785, 12.743652
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
0,-34.868,8.78750801,6400,8.78751469,6400,7.94214835e-05,8.79452955,6400,0.0799070964
1,-39.257,8.77790546,6401,8.77791023,6401,5.68105515e-05,8.77229303,6401,0.0639357096
2,-40.319,8.71490955,6402,8.71491337,6402,3.87167693e-05,8.72765003,6402,0.14618663
3,-38.407,8.68200016,6403,8.68200493,6403,5.36556401e-05,8.67152308,6403,0.120677165
4,-38.582,8.62648964,6404,8.62649536,6404,7.02090479e-05,8.63767185,6404,0.129630323
5,-39.486,8.58989716,6405,8.58990097,6405,4.37372725e-05,8.56956825,6405,0.236661306
6,-39.048,8.55831623,6406,8.55832005,6406,4.94736597e-05,8.55816496,6406,0.00176261713
7,-39.798,8.51785755,6407,8.51786137,6407,4.81812878e-05,8.52386356,6407,0.0705141936
8,-39.784,8.45582962,6408,8.45583725,6408,9.12087255e-05,8.45484329,6408,0.0116635601
9,-38.807,8.38893986,6409,8.38894653,6409,8.09503532e-05,8.38525492,6409,0.0439248202
10,-41.341,8.3491497,6410,8.34915543,6410,7.06756559e-05,8.33854004,6410,0.127072645
11,-40.516,8.26159668,6411,8.2616024,6411,7.37509754e-05,8.25615301,6411,0.0658867852
12,-41.289,8.19192219,6412,8.191926,6412,4.88592491e-05,8.18487553,6412,0.0860172548
13,-38.26,8.13090229,6413,8.13090611,6413,5.05298798e-05,8.13701035,6413,0.0751252128
14,-38.438,8.0863018,6414,8.08630562,6414,5.27041296e-05,8.10092587,6414,0.180855448
15,-40.1,8.04803753,6415,8.04804039,6415,3.73954651e-05,8.0525617,6415,0.0562164858
16,-37.24,7.99775171,6416,7.99775314,6416,1.83061945e-05,7.99169491,6416,0.0757309258
17,-36.639,7.98374319,6417,7.98374462,6417,1.67062667e-05,7.97946583,6417,0.0535770388
18,-37.31,8.00158405,6418,8.00158405,6418,1.04150701e-06,8.01609709,6418,0.181375961
19,-38.665,8.06960583,6419,8.06960773,6419,1.92295253e-05,8.08886194,6419,0.23862079
20,-37.81,8.12448978,6420,8.12448788,6420,2.25078199e-05,8.13701035,6420,0.154109967
21,-38.15,8.1392231,6421,8.13922501,6421,2.71229329e-05,8.13701035,6421,0.0271825042
22,-42.578,8.17710781,6422,8.17711067,6422,2.95046452e-05,8.16097804,6422,0.197260732
23,-40.068,8.17718983,6423,8.17719078,6423,1.35952762e-05,8.16097804,6423,0.198254337
24,-37.91,8.21607971,6424,8.21607876,6424,1.05376124e-05,8.20870346,6424,0.0897771687
25,-38.555,8.2237339,6425,8.22373486,6425,1.23176578e-05,8.20870346,6425,0.182768346
26,-37.833,8.25489616,6426,8.25489616,6426,9.52064176e-07,8.25615301,6426,0.0152244916
27,-37.644,8.24866009,6427,8.24865913,6427,1.69011026e-05,8.23246242,6427,0.196372584
28,-38.535,8.31193542,6427,8.31193829,6427,4.00254096e-05,8.30333141,6427,0.10350838
29,-43.254,8.30503368,6429,8.30503273,6429,7.70764574e-06,8.31508418,6429,0.121020761
30,-41.539,8.30948067,6429,8.30948544,6429,5.6377197e-05,8.31508418,6429,0.067434225
31,-43.215,8.34025097,6430,8.34025383,6430,3.25255765e-05,8.35024326,6430,0.119806257
32,-40.802,8.33097839,6432,8.33097839,6432,1.30801043e-06,8.32682037,6432,0.0499090611
33,-39.744,8.34737206,6432,8.34737587,6432,4.84585643e-05,8.35024326,6432,0.0343992727
34,-39.459,8.37668324,6433,8.37668514,6433,2.55222369e-05,8.37360063,6433,0.0367970859
35,-39.559,8.40920258,6434,8.40920639,6434,4.42630253e-05,8.40851503,6434,0.0081772175
36,-39.145,8.42924881,6436,8.42924786,6436,1.33121078e-05,8.44328505,6436,0.166516324
37,-38.389,8.44359303,6436,8.44359875,6436,6.29378545e-05,8.44328505,6437,0.00365222725
38,-38.364,8.4717989,6437,8.47180176,6437,3.3087363e-05,8.47791248,6438,0.072163235
39,-40.374,8.49846172,6438,8.49846554,6438,4.50878492e-05,8.50091907,6438,0.0289153707
40,-41.775,8.50587463,6439,8.50588036,6439,6.49452003e-05,8.52386356,6439,0.211485935
41,-40.077,8.55594254,6440,8.5559454,6440,3.70839958e-05,8.54674646,6440,0.107478128
42,-41.053,8.65497303,6441,8.65497875,6441,6.36361174e-05,8.66025404,6441,0.0610145548
43,-39.976,8.80670071,6442,8.80670547,6442,5.11387183e-05,8.79452955,6442,0.138206368
44,-38.815,8.98663807,12715,8.98663807,12715,2.51081384e-06,8.99218411,12715,0.061716771
45,-38.194,8.7769146,12716,8.77691364,12716,9.20886063e-06,8.77229303,12716,0.052654283
46,-40.866,8.63170528,12717,8.63170338,12717,2.39462469e-05,8.62635859,12717,0.0619443646
47,-41.587,8.49608421,12717,8.49608803,12717,4.69828001e-05,8.50091907,12718,0.056908944
48,-39.637,8.32474709,12719,8.32474613,12719,1.20773985e-05,8.32682037,12719,0.024904471
49,-37.682,8.16187191,12719,8.16187668,12719,6.07012943e-05,8.17293552,12719,0.13555463
50,-39.625,8.06890583,12720,8.06890774,12720,2.24851957e-05,8.06467994,12720,0.0523737123
51,-40.082,7.90407228,12721,7.90407753,12721,6.56214165e-05,7.90569415,12721,0.020518629
52,-39.427,7.75480938,12722,7.75481176,12722,2.97156234e-05,7.74344481,12722,0.146549713
53,-38.273,7.47624159,12724,7.47623968,12724,2.58461955e-05,7.46083524,12724,0.206071084
54,-37.898,7.21431637,12725,7.21431875,12725,3.13115112e-05,7.20785162,12725,0.0896117008
55,-27.499,6.89204502,12726,6.89204407,12726,1.27681334e-05,6.8891899,12726,0.0414252346
56,-25.643,6.80769253,12727,6.80769491,12727,3.24709944e-05,6.77483856,12727,0.482603195
57,-27.585,6.69208717,12728,6.69209194,12728,7.23899788e-05,6.71693289,12728,0.371271264
58,-14.386,6.62342691,12729,6.62343216,12729,7.77141642e-05,6.59959753,12729,0.359775784
59,-9.6861,6.61468267,12730,6.61468649,12730,6.00604981e-05,6.5847836,12730,0.452008402
60,-8.7291,6.63705158,12731,6.6370554,12731,5.97273256e-05,6.62912607,12731,0.119410846
61,-6.0072,6.67738152,12732,6.67738676,12732,7.58881314e-05,6.67317391,12732,0.0630155059
62,-2.7485,6.66097879,12733,6.66098309,12733,6.23104295e-05,6.64384113,12733,0.257286539
63,-2.4991,6.66670179,12733,6.66671276,12733,0.000165373659,6.67317391,12733,0.0970820628
64,-0.15824,6.61679029,12734,6.61680031,12734,0.000153383614,6.61437828,12734,0.0364509292
