#Time (s): double,float,flexfloat
0.626560271, 0.539764341, 10.049202
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
0,-34.868,8.78750801,6400,8.78751469,6400,7.94214835e-05,8.78751207,6400,4.96484846e-05
1,-39.257,8.77790546,6401,8.77791023,6401,5.68105515e-05,8.77790905,6401,4.33066248e-05
2,-40.319,8.71490955,6402,8.71491337,6402,3.87167693e-05,8.71491209,6402,2.4042887e-05
3,-38.407,8.68200016,6403,8.68200493,6403,5.36556401e-05,8.68200312,6403,3.28350744e-05
4,-38.582,8.62648964,6404,8.62649536,6404,7.02090479e-05,8.62649402,6404,5.46096964e-05
5,-39.486,8.58989716,6405,8.58990097,6405,4.37372725e-05,8.58989976,6405,2.96591336e-05
6,-39.048,8.55831623,6406,8.55832005,6406,4.94736597e-05,8.55831818,6406,2.76998649e-05
7,-39.798,8.51785755,6407,8.51786137,6407,4.81812878e-05,8.51786033,6407,3.60059839e-05
8,-39.784,8.45582962,6408,8.45583725,6408,9.12087255e-05,8.45583302,6408,4.11324992e-05
9,-38.807,8.38893986,6409,8.38894653,6409,8.09503532e-05,8.3889433,6409,4.23598289e-05
10,-41.341,8.3491497,6410,8.34915543,6410,7.06756559e-05,8.34915249,6410,3.55239249e-05
11,-40.516,8.26159668,6411,8.2616024,6411,7.37509754e-05,8.26160043,6411,4.98896877e-05
12,-41.289,8.19192219,6412,8.191926,6412,4.88592491e-05,8.19192321,6412,1.48121908e-05
13,-38.26,8.13090229,6413,8.13090611,6413,5.05298798e-05,8.13090477,6413,3.40660093e-05
14,-38.438,8.0863018,6414,8.08630562,6414,5.27041296e-05,8.08630311,6414,2.17217814e-05
15,-40.1,8.04803753,6415,8.04804039,6415,3.73954651e-05,8.04803932,6415,2.41539029e-05
16,-37.24,7.99775171,6416,7.99775314,6416,1.83061945e-05,7.99775026,6416,1.76955702e-05
17,-36.639,7.98374319,6417,7.98374462,6417,1.67062667e-05,7.98374336,6417,9.4170662e-07
18,-37.31,8.00158405,6418,8.00158405,6418,1.04150701e-06,8.001583,6418,1.41725093e-05
19,-38.665,8.06960583,6419,8.06960773,6419,1.92295253e-05,8.06960664,6419,5.61025931e-06
20,-37.81,8.12448978,6420,8.12448788,6420,2.25078199e-05,8.12448647,6420,3.98634994e-05
21,-38.15,8.1392231,6421,8.13922501,6421,2.71229329e-05,8.13922371,6421,1.11579148e-05
22,-42.578,8.17710781,6422,8.17711067,6422,2.95046452e-05,8.17710893,6422,8.15962037e-06
23,-40.068,8.17718983,6423,8.17719078,6423,1.35952762e-05,8.17718911,6423,6.86600226e-06
24,-37.91,8.21607971,6424,8.21607876,6424,1.05376124e-05,8.21607748,6424,2.61096005e-05
25,-38.555,8.2237339,6425,8.22373486,6425,1.23176578e-05,8.22373191,6425,2.35480654e-05
26,-37.833,8.25489616,6426,8.25489616,6426,9.52064176e-07,8.25489385,6426,2.90381233e-05
27,-37.644,8.24866009,6427,8.24865913,6427,1.69011026e-05,8.24865729,6427,3.92467675e-05
28,-38.535,8.31193542,6427,8.31193829,6427,4.00254096e-05,8.31193816,6427,3.85029648e-05
29,-43.254,8.30503368,6429,8.30503273,6429,7.70764574e-06,8.30503108,6429,2.75618522e-05
30,-41.539,8.30948067,6429,8.30948544,6429,5.6377197e-05,8.30948533,6429,5.50622817e-05
31,-43.215,8.34025097,6430,8.34025383,6430,3.25255765e-05,8.34025398,6430,3.42791304e-05
32,-40.802,8.33097839,6432,8.33097839,6432,1.30801043e-06,8.33097679,6432,1.79545999e-05
33,-39.744,8.34737206,6432,8.34737587,6432,4.84585643e-05,8.34737612,6432,5.14282081e-05
34,-39.459,8.37668324,6433,8.37668514,6433,2.55222369e-05,8.37668507,6433,2.4687981e-05
35,-39.559,8.40920258,6434,8.40920639,6434,4.42630253e-05,8.40920685,6434,4.97149578e-05
36,-39.145,8.42924881,6436,8.42924786,6436,1.33121078e-05,8.42924491,6436,4.82303981e-05
37,-38.389,8.44359303,6436,8.44359875,6436,6.29378545e-05,8.44359849,6436,5.9843524e-05
38,-38.364,8.4717989,6437,8.47180176,6437,3.3087363e-05,8.47180211,6437,3.72293771e-05
39,-40.374,8.49846172,6438,8.49846554,6438,4.50878492e-05,8.49846607,6438,5.13804476e-05
40,-41.775,8.50587463,6439,8.50588036,6439,6.49452003e-05,8.5058804,6439,6.54340499e-05
41,-40.077,8.55594254,6440,8.5559454,6440,3.70839958e-05,8.55594574,6440,4.10412641e-05
42,-41.053,8.65497303,6441,8.65497875,6441,6.36361174e-05,8.65497902,6441,6.67348377e-05
43,-39.976,8.80670071,6442,8.80670547,6442,5.11387183e-05,8.80670565,6442,5.31629702e-05
44,-38.815,8.98663807,12715,8.98663807,12715,2.51081384e-06,8.98663832,12715,5.33665078e-06
45,-38.194,8.7769146,12716,8.77691364,12716,9.20886063e-06,8.77691353,12716,1.04653662e-05
46,-40.866,8.63170528,12717,8.63170338,12717,2.39462469e-05,8.63170358,12717,2.16218056e-05
47,-41.587,8.49608421,12717,8.49608803,12717,4.69828001e-05,8.49608673,12717,3.17582309e-05
48,-39.637,8.32474709,12719,8.32474613,12719,1.20773985e-05,8.32474568,12719,1.74976678e-05
49,-37.682,8.16187191,12719,8.16187668,12719,6.07012943e-05,8.16187341,12719,2.0654264e-05
50,-39.625,8.06890583,12720,8.06890774,12720,2.24851957e-05,8.06890491,12720,1.26170916e-05
51,-40.082,7.90407228,12721,7.90407753,12721,6.56214165e-05,7.90407451,12721,2.74024112e-05
52,-39.427,7.75480938,12722,7.75481176,12722,2.97156234e-05,7.75481019,12722,9.47423253e-06
53,-38.273,7.47624159,12724,7.47623968,12724,2.58461955e-05,7.47623971,12724,2.53995612e-05
54,-37.898,7.21431637,12725,7.21431875,12725,3.13115112e-05,7.2143187,12725,3.0628004e-05
55,-27.499,6.89204502,12726,6.89204407,12726,1.27681334e-05,6.89204444,12726,7.35889657e-06
56,-25.643,6.80769253,12727,6.80769491,12727,3.24709944e-05,6.80769487,12727,3.18043377e-05
57,-27.585,6.69208717,12728,6.69209194,12728,7.23899788e-05,6.69209182,12728,7.05424291e-05
58,-14.386,6.62342691,12729,6.62343216,12729,7.77141642e-05,6.62343212,12729,7.70864258e-05
59,-9.6861,6.61468267,12730,6.61468649,12730,6.00604981e-05,6.61468646,12730,5.96131698e-05
60,-8.7291,6.63705158,12731,6.6370554,12731,5.97273256e-05,6.63705528,12731,5.79495986e-05
